@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
20,33,279,14,214,0.061404,0.105769,0.702128,0.105769,0.297872,0.183844,0.087037,1.215221,0.789474
21,24,288,13,215,0.057018,0.076923,0.648649,0.076923,0.351351,0.137536,0.068519,1.122661,0.815789
22,16,296,11,217,0.048246,0.051282,0.592593,0.051282,0.407407,0.094395,0.05,1.025641,0.833333
23,2,310,4,224,0.017544,0.00641,0.333333,0.00641,0.666667,0.012579,0.011111,0.576923,0.848485
24,0,312,0,228,0,0,0,0,0,0,0,?,0.848495
0,312,0,228,0,1,1,0.577778,1,0.422222,0.732394,1,1,0.576389
1,186,126,138,90,0.605263,0.596154,0.574074,0.596154,0.425926,0.584906,0.6,0.99359,0.578704
2,0,312,0,228,0,0,0,0,0,0,0,?,0.578714
0,312,0,228,0,1,1,0.577778,1,0.422222,0.732394,1,1,0
1,312,0,179,49,0.785088,1,0.635438,1,0.364562,0.777086,0.909259,1.099796,0.014706
2,311,1,172,56,0.754386,0.996795,0.643892,0.996795,0.356108,0.78239,0.894444,1.114429,0.016667
3,310,2,157,71,0.688596,0.99359,0.663812,0.99359,0.336188,0.795892,0.864815,1.148905,0.651832
4,247,65,128,100,0.561404,0.791667,0.658667,0.791667,0.341333,0.719068,0.694444,1.14,0.652742
5,185,127,99,129,0.434211,0.592949,0.651408,0.592949,0.348592,0.620805,0.525926,1.127438,0.663978
6,122,190,70,158,0.307018,0.391026,0.635417,0.391026,0.364583,0.484127,0.355556,1.09976,0.669355
7,61,251,39,189,0.171053,0.195513,0.61,0.195513,0.39,0.296117,0.185185,1.055769,0.684066
8,0,312,0,228,0,0,0,0,0,0,0,?,0.684076
